L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
10,3,5,5,0.05,0.0,10.0,6.0,1.5,23,7,16,0.3043,1.2087,27.8011,19.9653,1.4053,13.7704,-4.287,-13.5545,20.39,26.9768,-8.3217,"{'sl': 16, 'tp': 6, 'end': 1}",22,-0.776,0.348
10,3,7,3,0.05,0.5,5.0,5.0,1.5,29,11,18,0.3793,2.3801,69.023,75.2953,1.8201,13.9264,-4.676,-24.215,14.79,23.6027,-8.6981,"{'sl': 18, 'tp': 11}",27,-0.787,0.241
10,3,5,5,0.05,0.0,5.0,6.0,1.5,22,6,16,0.2727,1.2159,26.7497,18.7171,1.39,15.8902,-4.287,-13.5545,19.77,26.9768,-8.3217,"{'sl': 16, 'tp': 6}",22,-0.806,0.364
10,3,5,3,0.05,0.0,5.0,5.0,1.5,25,7,18,0.28,0.3951,9.8777,1.6468,1.1184,13.3279,-4.6343,-21.909,16.52,17.5312,-8.6981,"{'sl': 18, 'tp': 7}",23,-0.81,0.28
7,3,7,3,0.05,0.0,10.0,5.0,1.5,46,13,33,0.2826,-0.58,-26.681,-32.5859,0.8377,10.5948,-4.9822,-57.3218,12.63,17.5312,-8.8715,"{'sl': 33, 'tp': 12, 'end': 1}",37,-0.81,0.391
7,2,5,3,0.05,0.0,10.0,6.0,1.5,43,13,30,0.3023,1.8858,81.0876,76.4164,1.5483,17.6137,-4.9297,-48.5858,20.91,35.3203,-9.0936,"{'sl': 30, 'tp': 12, 'end': 1}",35,-0.813,0.395
7,2,7,3,0.05,0.0,10.0,6.0,1.5,50,13,37,0.26,0.7879,39.3941,14.7076,1.2078,17.6137,-5.1239,-57.9252,21.16,35.3203,-9.0936,"{'sl': 37, 'tp': 12, 'end': 1}",38,-0.881,0.38
7,2,7,3,0.0,0.0,10.0,6.0,1.5,36,10,26,0.2778,1.5298,55.0727,39.675,1.4078,19.0135,-5.1947,-46.4541,23.33,35.3203,-9.0936,"{'sl': 26, 'tp': 9, 'end': 1}",30,-0.884,0.472
7,2,5,3,0.05,0.5,5.0,6.0,1.5,29,8,21,0.2759,1.4287,41.4315,31.748,1.4241,17.3915,-4.6524,-45.6389,15.21,21.6111,-8.1166,"{'sl': 21, 'tp': 8}",23,-0.903,0.345
10,2,5,5,0.0,0.0,10.0,4.0,1.0,20,6,14,0.3,2.1163,42.3255,40.7394,1.8701,15.1618,-3.4747,-18.6322,8.1,21.941,-7.1599,"{'sl': 14, 'tp': 6}",20,-0.917,0.4
7,3,7,3,0.05,0.5,10.0,5.0,1.5,34,9,25,0.2647,-1.0313,-35.0655,-36.9087,0.7486,11.6007,-5.5789,-54.7739,11.12,17.5312,-8.8715,"{'sl': 25, 'tp': 8, 'end': 1}",29,-0.918,0.382
10,3,5,3,0.05,0.5,10.0,5.0,1.5,24,8,16,0.3333,0.4464,10.7136,2.2228,1.1281,11.7933,-5.2271,-33.6271,17.5,17.5312,-8.6981,"{'tp': 7, 'sl': 16, 'end': 1}",22,-0.923,0.208
7,3,5,3,0.05,0.0,5.0,6.0,1.5,29,10,19,0.3448,1.7577,50.9723,48.3694,1.5933,13.688,-4.5214,-28.5244,15.86,21.0575,-8.6981,"{'tp': 10, 'sl': 19}",24,-0.925,0.345
7,2,7,3,0.0,0.5,10.0,6.0,1.5,35,10,25,0.2857,1.6882,59.0887,45.5191,1.4509,19.0135,-5.2419,-44.2137,23.46,35.3203,-9.0936,"{'sl': 25, 'tp': 9, 'end': 1}",29,-0.931,0.457
7,2,7,3,0.05,0.5,5.0,6.0,1.5,34,8,26,0.2353,0.5253,17.8618,3.4444,1.1473,17.3915,-4.6642,-51.5824,17.0,21.6111,-8.1166,"{'sl': 26, 'tp': 8}",27,-0.941,0.324
7,2,5,3,0.0,0.0,10.0,6.0,1.5,30,10,20,0.3333,2.9081,87.2424,94.5576,1.8479,19.0135,-5.1446,-37.9904,23.7,35.3203,-9.0936,"{'sl': 20, 'tp': 9, 'end': 1}",27,-0.978,0.467
7,3,7,3,0.05,0.5,5.0,6.0,1.5,26,7,19,0.2692,0.8605,22.3736,11.3131,1.2383,16.6063,-4.9406,-32.652,13.62,21.0575,-8.6981,"{'sl': 19, 'tp': 7}",22,-1.008,0.308
7,2,5,3,0.0,0.5,10.0,6.0,1.5,29,10,19,0.3448,3.1468,91.2584,102.6979,1.923,19.0135,-5.204,-35.3959,23.86,35.3203,-9.0936,"{'sl': 19, 'tp': 9, 'end': 1}",26,-1.038,0.448
7,3,7,3,0.05,0.5,5.0,4.0,2.0,26,14,12,0.5385,2.0369,52.9599,53.252,1.639,9.7029,-6.9067,-23.1355,13.77,14.7756,-10.0389,"{'sl': 12, 'tp': 13, 'end': 1}",22,-1.079,0.462
7,3,5,3,0.05,0.5,10.0,4.0,2.0,23,12,11,0.5217,1.1703,26.9159,18.7542,1.3166,9.3274,-7.7285,-43.7336,14.65,14.7756,-11.3348,"{'tp': 10, 'end': 2, 'sl': 11}",19,-1.104,0.478
7,3,7,3,0.05,0.0,5.0,5.0,1.5,38,12,26,0.3158,0.5258,19.9789,9.4469,1.1712,11.3901,-4.4886,-38.4394,13.42,17.5312,-8.6981,"{'sl': 26, 'tp': 12}",30,-1.105,0.342
7,2,5,3,0.05,0.5,10.0,6.0,1.5,39,11,28,0.2821,1.7503,68.2617,56.9183,1.4854,18.9891,-5.0221,-50.3513,21.23,35.3203,-9.0936,"{'sl': 28, 'tp': 10, 'end': 1}",32,-1.109,0.359
10,3,5,3,0.05,0.5,5.0,5.0,1.5,20,7,13,0.35,1.4741,29.4826,24.2008,1.462,13.3279,-4.9086,-18.5089,18.45,17.5312,-8.6981,"{'tp': 7, 'sl': 13}",19,-1.123,0.15
7,2,7,3,0.05,0.5,10.0,6.0,1.5,47,11,36,0.234,0.5148,24.1962,-0.3904,1.131,18.9891,-5.1301,-59.37,21.15,35.3203,-9.0936,"{'sl': 36, 'tp': 10, 'end': 1}",36,-1.127,0.34
7,3,5,3,0.05,0.5,10.0,6.0,1.5,23,7,16,0.3043,0.3132,7.2032,-2.9939,1.0795,13.9799,-5.666,-45.9119,13.52,21.0575,-8.6981,"{'tp': 6, 'sl': 16, 'end': 1}",19,-1.172,0.217
7,3,5,3,0.05,0.0,10.0,5.0,1.5,34,11,23,0.3235,0.0509,1.7295,-7.7682,1.0153,10.4501,-4.9227,-48.8511,14.06,17.5312,-8.6981,"{'tp': 10, 'sl': 23, 'end': 1}",28,-1.283,0.294
7,3,7,3,0.05,0.5,5.0,5.0,1.5,26,8,18,0.3077,0.4459,11.5944,2.4288,1.1264,12.9193,-5.0978,-34.5117,11.81,17.5312,-8.6981,"{'sl': 18, 'tp': 8}",22,-1.383,0.308
7,3,5,3,0.05,0.0,5.0,5.0,1.5,29,10,19,0.3448,0.9653,27.9923,21.1715,1.3258,11.39,-4.5214,-32.0955,14.66,17.5312,-8.6981,"{'tp': 10, 'sl': 19}",24,-1.536,0.276
7,3,5,3,0.05,0.5,10.0,5.0,1.5,23,7,16,0.3043,-0.3927,-9.0313,-15.7336,0.9004,11.6607,-5.666,-47.0855,12.0,17.5312,-8.6981,"{'tp': 6, 'sl': 16, 'end': 1}",19,-1.649,0.217
