L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
7,2,10,3,0.05,1.0,5.0,4.0,2.0,31,14,17,0.4516,1.7342,53.7604,48.0266,1.4695,12.0183,-6.7351,-16.4355,20.23,19.3253,-10.5039,"{'sl': 17, 'tp': 14}",26,1.031,0.645
10,2,5,3,0.0,0.0,5.0,8.0,1.5,20,5,15,0.25,2.2519,45.0386,33.9286,1.5778,24.5984,-5.1969,-21.1046,21.35,29.5332,-7.9029,"{'sl': 15, 'tp': 5}",16,1.03,0.5
10,3,5,3,0.05,0.0,10.0,6.0,1.5,29,11,18,0.3793,3.6316,105.3151,134.6752,2.1653,17.7902,-5.021,-16.3028,21.97,30.0457,-8.3217,"{'sl': 18, 'tp': 10, 'end': 1}",26,1.018,0.517
7,2,10,3,0.0,1.0,10.0,4.0,2.0,32,12,20,0.375,0.6752,21.6054,4.5661,1.1509,13.7293,-7.1573,-35.0877,21.09,23.5135,-12.0914,"{'sl': 20, 'tp': 11, 'end': 1}",26,1.016,0.656
7,3,10,3,0.05,1.0,10.0,6.0,1.0,31,10,21,0.3226,3.4282,106.2727,142.4405,2.3876,18.2859,-3.647,-28.336,7.45,30.0457,-5.9477,"{'sl': 21, 'tp': 10}",26,1.014,0.613
7,3,7,3,0.05,0.5,10.0,6.0,1.0,31,10,21,0.3226,3.4188,105.9835,141.6793,2.3786,18.2859,-3.6607,-24.5536,8.42,30.0457,-5.9477,"{'sl': 21, 'tp': 10}",24,1.014,0.581
7,2,10,3,0.0,0.5,5.0,4.0,2.0,27,11,16,0.4074,0.9723,26.2531,14.7215,1.2394,12.3544,-6.8528,-29.8638,22.11,19.3253,-10.5039,"{'sl': 16, 'tp': 11}",21,1.01,0.63
5,2,5,5,0.05,1.0,10.0,4.0,2.0,75,32,43,0.4267,0.7629,57.2148,24.8746,1.1985,10.7941,-6.7022,-36.1831,18.75,43.5001,-14.2617,"{'sl': 43, 'tp': 29, 'end': 3}",41,1.001,0.48
5,2,7,5,0.05,1.0,10.0,4.0,2.0,75,32,43,0.4267,0.7629,57.2148,24.8746,1.1985,10.7941,-6.7022,-36.1831,18.75,43.5001,-14.2617,"{'sl': 43, 'tp': 29, 'end': 3}",41,1.001,0.48
7,2,5,3,0.0,0.5,10.0,4.0,2.0,31,14,17,0.4516,2.0725,64.2488,59.3537,1.52,13.414,-7.2674,-38.0007,24.45,23.5135,-12.0914,"{'sl': 17, 'tp': 13, 'end': 1}",24,1.0,0.613
7,2,10,3,0.0,0.0,5.0,4.0,2.0,28,11,17,0.3929,0.7824,21.9068,9.7354,1.1922,12.3544,-6.7054,-29.8638,22.96,19.3253,-10.5039,"{'sl': 17, 'tp': 11}",22,0.976,0.643
10,2,3,5,0.05,0.5,10.0,5.0,1.5,24,9,15,0.375,2.0742,49.7815,47.9963,1.7219,13.1929,-4.597,-31.0129,16.17,23.9534,-7.2167,"{'sl': 15, 'tp': 8, 'end': 1}",20,0.972,0.583
7,2,5,3,0.0,0.0,10.0,4.0,2.0,32,14,18,0.4375,1.872,59.9025,52.4277,1.4684,13.414,-7.1052,-38.0007,25.12,23.5135,-12.0914,"{'sl': 18, 'tp': 13, 'end': 1}",25,0.97,0.625
10,3,5,3,0.05,0.0,5.0,6.0,1.5,21,9,12,0.4286,5.081,106.7019,149.4739,2.8431,18.2884,-4.8245,-16.3028,24.86,22.1249,-8.3217,"{'sl': 12, 'tp': 9}",20,0.965,0.476
7,2,7,5,0.05,1.0,10.0,4.0,2.0,34,16,18,0.4706,1.9434,66.0741,69.7134,1.618,10.8123,-5.9402,-27.4574,22.5,18.8779,-8.9061,"{'sl': 18, 'tp': 16}",22,0.961,0.441
7,2,7,3,0.05,1.0,5.0,4.0,2.0,26,13,13,0.5,2.3807,61.8973,64.0503,1.6902,11.66,-6.8987,-15.849,19.88,19.3253,-10.5039,"{'sl': 13, 'tp': 13}",21,0.959,0.615
10,2,5,3,0.05,1.0,5.0,4.0,2.0,20,9,11,0.45,2.5151,50.3022,47.1137,1.665,13.9932,-6.8761,-18.9377,19.2,21.8246,-10.5039,"{'sl': 11, 'tp': 9}",16,0.954,0.55
5,2,3,5,0.05,1.0,10.0,4.0,2.0,73,31,42,0.4247,0.7721,56.3641,24.628,1.2009,10.8675,-6.6793,-36.1831,18.32,43.5001,-14.2617,"{'sl': 42, 'tp': 28, 'end': 3}",41,0.949,0.466
7,3,10,3,0.0,0.5,10.0,5.0,1.5,21,6,15,0.2857,0.4513,9.4773,-0.7966,1.1068,16.3668,-5.9149,-35.6743,11.67,18.4207,-8.8716,"{'sl': 15, 'tp': 6}",20,0.944,0.476
5,3,3,5,0.05,1.0,3.0,8.0,1.5,46,10,36,0.2174,1.3962,64.2235,43.7718,1.3934,22.7478,-4.5348,-29.5538,23.46,32.1264,-8.7273,"{'tp': 10, 'sl': 36}",32,0.939,0.478
5,3,5,5,0.05,1.0,3.0,8.0,1.5,46,10,36,0.2174,1.3962,64.2235,43.7718,1.3934,22.7478,-4.5348,-29.5538,23.46,32.1264,-8.7273,"{'tp': 10, 'sl': 36}",32,0.939,0.478
5,3,7,5,0.05,1.0,3.0,8.0,1.5,46,10,36,0.2174,1.3962,64.2235,43.7718,1.3934,22.7478,-4.5348,-29.5538,23.46,32.1264,-8.7273,"{'tp': 10, 'sl': 36}",32,0.939,0.478
5,3,10,5,0.05,1.0,3.0,8.0,1.5,46,10,36,0.2174,1.3962,64.2235,43.7718,1.3934,22.7478,-4.5348,-29.5538,23.46,32.1264,-8.7273,"{'tp': 10, 'sl': 36}",32,0.939,0.478
10,3,5,3,0.05,0.5,10.0,6.0,1.5,26,9,17,0.3462,2.8744,74.735,77.3481,1.8541,18.0266,-5.1473,-16.7401,21.5,30.0457,-8.3217,"{'sl': 17, 'tp': 8, 'end': 1}",23,0.933,0.462
