L,S,W,k,eps,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit
7,3,5,3,0.05,2.0,1.0,64,21,43,0.3281,-0.6539,-41.8499,-37.4791,0.6992,4.6318,-3.2353,-54.0663,5.25,7.3378,-7.7321,"{'sl': 43, 'tp': 21}",46
10,2,7,3,0.0,4.0,2.0,79,30,49,0.3797,-0.1665,-13.1549,-38.3125,0.9633,11.5114,-7.3162,-73.4658,16.19,18.7187,-14.3329,"{'sl': 49, 'tp': 28, 'end': 2}",57
5,2,5,3,0.05,3.0,1.0,102,24,78,0.2353,-0.329,-33.5571,-38.7862,0.8691,9.2829,-3.2865,-53.0183,7.02,16.3435,-7.2165,"{'sl': 78, 'tp': 23, 'end': 1}",61
7,2,10,5,0.05,3.0,2.0,200,86,114,0.43,0.0794,15.8782,-39.2252,1.0218,8.6456,-6.3828,-68.1929,13.47,22.4541,-19.6788,"{'sl': 113, 'tp': 83, 'end': 4}",88
7,3,10,3,0.0,3.0,2.0,30,10,20,0.3333,-1.3433,-40.2996,-39.41,0.6943,9.1548,-6.5924,-52.5507,11.73,15.1429,-11.7953,"{'sl': 19, 'tp': 10, 'end': 1}",27
5,2,7,3,0.05,3.0,1.0,103,24,79,0.233,-0.3565,-36.7166,-40.7203,0.8585,9.2829,-3.2849,-54.5027,6.96,16.3435,-7.2165,"{'sl': 79, 'tp': 23, 'end': 1}",61
5,2,10,3,0.05,3.0,1.0,103,24,79,0.233,-0.3565,-36.7166,-40.7203,0.8585,9.2829,-3.2849,-54.5027,6.96,16.3435,-7.2165,"{'sl': 79, 'tp': 23, 'end': 1}",61
7,2,10,5,0.05,2.0,1.0,203,71,132,0.3498,-0.1511,-30.6662,-41.0735,0.9301,5.7515,-3.3259,-63.9173,4.98,15.5522,-9.8894,"{'sl': 132, 'tp': 71}",88
7,3,7,3,0.0,3.0,2.0,29,9,20,0.3103,-1.6208,-47.0029,-43.2163,0.6435,9.4271,-6.5924,-55.5316,11.83,15.1429,-11.7953,"{'sl': 19, 'tp': 9, 'end': 1}",26
7,2,7,5,0.05,3.0,2.0,198,85,113,0.4293,0.0419,8.2938,-43.2786,1.0115,8.6129,-6.4053,-68.1929,13.55,22.4541,-19.6788,"{'sl': 112, 'tp': 82, 'end': 4}",87
7,2,7,5,0.05,2.0,1.0,201,70,131,0.3483,-0.1805,-36.2785,-44.126,0.917,5.7254,-3.3363,-63.4533,5.0,15.5522,-9.8894,"{'sl': 131, 'tp': 70}",87
7,2,5,5,0.0,2.0,1.0,147,51,96,0.3469,-0.2806,-41.2475,-44.1552,0.8786,5.8549,-3.5401,-56.1661,5.35,15.5522,-9.8894,"{'sl': 96, 'tp': 51}",81
7,3,5,5,0.0,4.0,2.0,155,55,100,0.3548,0.0407,6.3035,-45.9452,1.0099,11.7407,-6.3944,-77.8895,17.67,30.4284,-17.4699,"{'sl': 96, 'tp': 50, 'end': 9}",78
7,3,7,5,0.0,4.0,2.0,155,55,100,0.3548,0.0407,6.3035,-45.9452,1.0099,11.7407,-6.3944,-77.8895,17.67,30.4284,-17.4699,"{'sl': 96, 'tp': 50, 'end': 9}",78
