indicator,tp_pct,sl_pct,ma_window,k,accel_window,min_angle_delta,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
angle_accel,3.0,5.0,10,10,5,1.0,403,225,0.5583126550868487,-0.6334987593052108,-255.29999999999995,-94.41728916351101,0.718770654329147,-96.896055418987,1.58560794044665,62,"{'sl': 178, 'tp': 225}",MA 각도 가속
angle_accel,3.0,5.0,10,10,10,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},MA 각도 가속
angle_accel,3.0,5.0,20,3,3,2.0,8,5,0.625,-0.09999999999999992,-0.7999999999999994,-1.4003187217726532,0.9477124183006537,-9.939900000000012,2.625,5,"{'tp': 5, 'sl': 3}",MA 각도 가속
angle_accel,3.0,5.0,20,3,3,3.0,4,3,0.75,0.9,3.6,3.3980472160999753,1.7058823529411764,-5.100000000000005,3.0,2,"{'tp': 3, 'sl': 1}",MA 각도 가속
angle_accel,3.0,5.0,20,3,3,10.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,20,3,3,5.0,2,1,0.5,-1.0999999999999999,-2.1999999999999997,-2.347900000000014,0.5686274509803921,0.0,3.5,1,"{'sl': 1, 'tp': 1}",MA 각도 가속
angle_accel,3.0,5.0,20,3,3,1.0,77,43,0.5584415584415584,-0.6324675324675324,-48.699999999999996,-42.3349945629219,0.7191464821222608,-56.47997314413762,1.5324675324675325,29,"{'sl': 34, 'tp': 43}",MA 각도 가속
angle_accel,3.0,5.0,20,3,3,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},MA 각도 가속
angle_accel,3.0,5.0,20,3,5,3.0,6,5,0.8333333333333334,1.5666666666666667,9.4,9.482091712342488,2.843137254901961,-5.100000000000005,2.3333333333333335,2,"{'tp': 5, 'sl': 1}",MA 각도 가속
angle_accel,3.0,5.0,20,3,5,5.0,4,3,0.75,0.9,3.6,3.3980472160999753,1.7058823529411764,-5.100000000000005,2.75,2,"{'tp': 3, 'sl': 1}",MA 각도 가속
angle_accel,3.0,5.0,20,3,5,10.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,20,3,5,2.0,18,9,0.5,-1.1,-19.8,-19.251533250079056,0.5686274509803921,-25.888063644452487,1.6666666666666667,10,"{'tp': 9, 'sl': 9}",MA 각도 가속
angle_accel,3.0,5.0,20,3,5,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},MA 각도 가속
angle_accel,3.0,5.0,20,3,5,1.0,184,103,0.5597826086956522,-0.6217391304347825,-114.39999999999998,-72.62546144418177,0.723069474703461,-83.16864658195071,1.3967391304347827,49,"{'sl': 81, 'tp': 103}",MA 각도 가속
angle_accel,3.0,5.0,20,3,10,3.0,11,6,0.5454545454545454,-0.7363636363636362,-8.099999999999998,-8.625858265940433,0.6823529411764705,-12.054421087900014,1.9090909090909092,4,"{'sl': 5, 'tp': 6}",MA 각도 가속
angle_accel,3.0,5.0,20,3,10,5.0,5,2,0.4,-1.9,-9.5,-9.503999299449116,0.3790849673202615,-14.532965100000006,2.8,2,"{'tp': 2, 'sl': 3}",MA 각도 가속
angle_accel,3.0,5.0,20,3,10,2.0,49,25,0.5102040816326531,-1.0183673469387753,-49.89999999999999,-41.82003343686102,0.5923202614379085,-50.99039314096239,1.6938775510204083,20,"{'tp': 25, 'sl': 24}",MA 각도 가속
angle_accel,3.0,5.0,20,3,10,10.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,20,3,10,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},MA 각도 가속
angle_accel,3.0,5.0,10,10,10,1.0,1522,918,0.6031537450722734,-0.2640609724047305,-401.9007999999998,-99.45032683028741,0.8686264935412018,-99.81030449060407,2.0775295663600524,94,"{'sl': 599, 'tp': 915, 'end': 8}",MA 각도 가속
angle_accel,3.0,5.0,20,5,3,2.0,6,5,0.8333333333333334,1.5666666666666667,9.4,9.482091712342488,2.843137254901961,-5.100000000000005,2.3333333333333335,2,"{'tp': 5, 'sl': 1}",MA 각도 가속
