ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
006400.KS,2022-09-22,2022-09-27,624133.875,584466.4578,-6.4556,3,sl
373220.KS,2022-10-12,2022-10-27,483000.0,538336.227,11.3568,11,tp
078930.KS,2022-10-18,2022-10-26,37711.3398,35597.1151,-5.7063,6,sl
010130.KS,2022-10-20,2022-11-03,545971.5625,505507.8897,-7.5113,10,sl
009830.KS,2022-10-21,2022-12-27,53482.2305,48103.2614,-10.1575,47,sl
006400.KS,2022-10-25,2022-10-27,649932.8125,716667.0772,10.1679,2,tp
000150.KS,2022-11-01,2022-11-25,83394.3672,98060.7393,17.4868,18,tp
004310.KS,2022-12-21,2023-01-03,4927.3857,4528.8984,-8.1872,8,sl
012450.KS,2022-12-28,2023-01-05,78317.2109,73016.4934,-6.8683,5,sl
009150.KS,2023-01-04,2023-01-25,139096.0625,145784.2969,4.7084,13,end
071050.KS,2023-01-06,2023-01-17,50885.1602,55421.5574,8.815,7,tp
105560.KS,2023-01-06,2023-02-14,49065.9883,46145.8173,-6.0515,25,sl
035420.KS,2023-01-09,2023-02-01,192365.8125,201176.4531,4.4801,15,end
066570.KS,2023-01-09,2023-02-08,91781.8828,100263.0631,9.1406,20,tp
005490.KS,2023-01-10,2023-01-17,264278.75,284354.0103,7.4962,5,tp
018880.KS,2023-01-10,2023-01-26,8396.7119,9195.2073,9.4096,10,tp
034020.KS,2023-01-11,2023-02-09,16400.0,15880.0,-3.2707,19,end
036570.KS,2023-01-12,2023-02-09,437007.7188,435547.7812,-0.4341,18,end
241560.KS,2023-01-13,2023-01-25,32357.3906,31320.873,-3.3033,6,end
011810.KS,2023-01-16,2023-01-31,7935.96,6749.8978,-15.0454,9,sl
006980.KS,2023-01-17,2023-01-25,21327.5918,21416.4551,0.3167,4,end
099750.KS,2023-01-17,2023-01-18,11800.0,13437.2875,13.7753,1,tp
035510.KS,2023-01-18,2023-02-03,12339.8643,13793.1414,11.6771,10,tp
007070.KS,2023-01-25,2023-02-08,32751.8828,35323.6973,7.7524,10,tp
001040.KS,2023-02-07,2023-02-28,76163.2422,81819.3642,7.3263,15,tp
001450.KS,2023-02-23,2023-04-07,31691.3438,29865.4502,-5.8615,30,sl
005830.KS,2023-02-23,2023-04-18,61433.4805,67069.4095,9.074,37,tp
000990.KS,2023-03-23,2023-03-24,45239.957,51555.7252,13.8606,1,tp
005490.KS,2023-03-28,2023-03-31,307871.0312,339301.4163,10.1089,3,tp
103140.KS,2023-03-28,2023-04-14,34151.7773,37778.6259,10.5198,13,tp
039490.KS,2023-04-05,2023-04-14,89093.5,96089.529,7.7525,7,tp
051910.KS,2023-04-07,2023-04-11,701756.875,771344.81,9.8162,2,tp
006400.KS,2023-04-10,2023-04-25,744406.1875,693754.7292,-6.9043,11,sl
091810.KS,2023-04-11,2023-04-20,3200.0,3660.7758,14.2992,7,tp
001450.KS,2023-04-18,2023-04-25,32861.6289,35793.0881,8.8206,5,tp
035510.KS,2023-04-18,2023-04-25,14495.9004,13546.8864,-6.6468,5,sl
068270.KS,2023-05-22,2023-06-08,153495.2031,145358.9498,-5.4007,11,sl
011210.KS,2023-05-23,2023-06-19,58583.0938,55026.6843,-6.1707,17,sl
012450.KS,2023-05-23,2023-06-19,119140.9922,134691.9369,12.9526,17,tp
042660.KS,2023-05-25,2023-06-16,25290.9844,29142.5717,15.1291,14,tp
096770.KS,2023-05-25,2023-06-07,178616.1562,196200.719,9.7449,7,tp
373220.KS,2023-05-25,2023-06-28,583000.0,551209.9779,-5.5528,22,sl
000990.KS,2023-06-01,2023-08-08,57933.8672,52551.0943,-9.3912,47,sl
005490.KS,2023-06-07,2023-07-12,355431.5,386250.9332,8.571,25,tp
247540.KS,2023-06-07,2023-06-28,269866.6562,244609.4555,-9.4591,15,sl
047810.KS,2023-06-08,2023-07-26,53136.0234,49934.6126,-6.1249,34,sl
103140.KS,2023-06-15,2023-06-22,37562.4102,40721.1887,8.3094,5,tp
011810.KS,2023-06-19,2023-07-05,11910.4551,14708.9889,23.3964,12,tp
011210.KS,2023-06-28,2023-07-28,62469.6719,58724.5902,-6.095,22,sl
005380.KS,2023-06-29,2023-07-26,176858.9531,170480.8335,-3.7063,19,sl
000810.KS,2023-07-12,2023-09-11,211357.0156,228684.5571,8.0982,42,tp
402340.KS,2023-07-20,2023-07-24,46639.1719,44047.024,-5.6579,2,sl
000660.KS,2023-08-22,2023-10-17,113974.3359,126218.8941,10.6433,35,tp
009540.KS,2023-09-01,2023-09-27,112838.5156,106234.5317,-5.9526,18,sl
035420.KS,2023-09-15,2023-09-21,225177.2031,210878.2275,-6.4501,4,sl
161390.KS,2023-09-15,2023-10-04,34970.3164,32887.9853,-6.0546,9,sl
010140.KS,2023-09-18,2023-09-22,8490.0,7981.488,-6.0895,4,sl
069620.KS,2023-10-04,2023-10-10,106113.4141,116728.1933,9.9032,3,tp
039490.KS,2023-10-13,2023-10-23,89796.4062,82981.721,-7.689,6,sl
042700.KS,2023-10-16,2023-10-31,57503.0781,51031.4695,-11.3544,11,sl
021050.KS,2023-10-18,2024-08-05,1521.0,1181.5618,-22.4168,197,sl
298040.KS,2023-10-18,2023-10-20,178382.4375,159788.9752,-10.5234,2,sl
105630.KS,2023-10-25,2024-01-16,19326.7422,17540.0547,-9.3446,56,sl
007070.KS,2023-10-30,2024-01-11,28180.5098,26653.1022,-5.5201,50,sl
298040.KS,2023-11-01,2023-11-29,176930.6094,209865.7629,18.5147,20,tp
030210.KS,2023-11-02,2023-11-14,3385.99,3809.8656,12.4185,8,tp
001040.KS,2023-11-06,2023-11-28,78508.1719,89084.8781,13.3721,16,tp
002380.KS,2023-11-07,2023-11-23,220246.7969,205142.2414,-6.958,12,sl
003090.KS,2023-11-17,2023-12-27,17178.4688,19827.7888,15.3223,27,tp
024110.KS,2023-11-23,2024-01-12,9593.2979,9486.4326,-1.214,33,end
000660.KS,2023-12-15,2024-01-10,137316.9531,130480.2709,-5.0788,15,sl
042700.KS,2024-01-09,2024-01-12,57798.4727,56223.043,-2.8257,3,end
402340.KS,2024-01-25,2024-02-02,49785.0703,54023.2838,8.413,6,tp
015760.KS,2024-01-26,2024-02-01,18395.4609,19665.7292,6.8053,4,tp
055550.KS,2024-01-26,2024-02-01,35766.4453,38134.4264,6.5207,4,tp
071050.KS,2024-01-31,2024-02-01,56521.9023,61265.8656,8.2931,1,tp
039490.KS,2024-02-01,2024-02-15,97435.1406,105801.6407,8.4867,8,tp
241560.KS,2024-02-01,2024-02-21,45063.1406,41908.9399,-7.0995,12,sl
000150.KS,2024-02-02,2024-02-28,94341.7812,87689.3105,-7.1515,16,sl
001040.KS,2024-02-02,2024-03-12,93421.9141,85694.6671,-8.3713,24,sl
009160.KS,2024-02-05,2024-03-14,7813.8921,7227.7732,-7.601,25,sl
011210.KS,2024-02-05,2024-02-26,60099.8086,55757.4849,-7.3252,13,sl
035720.KS,2024-02-20,2024-02-29,58466.6211,54236.4646,-7.3352,7,sl
018260.KS,2024-02-23,2024-02-28,162024.4688,150326.1872,-7.3201,3,sl
047810.KS,2024-02-29,2024-04-15,50810.3711,47767.1035,-6.0895,30,sl
017900.KS,2024-03-06,2024-03-29,2303.3967,2055.6061,-10.8576,17,sl
241560.KS,2024-03-12,2024-03-21,44468.9961,49459.8992,11.1233,7,tp
078930.KS,2024-04-08,2024-04-12,45468.7969,42289.053,-7.0932,3,sl
000270.KS,2024-04-24,2024-06-17,103990.1719,115669.2071,11.1309,34,tp
005380.KS,2024-04-24,2024-06-13,230002.0156,254867.2379,10.7109,32,tp
039490.KS,2024-04-24,2024-06-18,118171.8047,108715.8384,-8.1019,35,sl
005940.KS,2024-04-26,2024-07-15,11091.0713,11974.8278,7.8682,52,tp
105560.KS,2024-04-26,2024-07-02,70289.4219,79300.0358,12.7193,43,tp
005830.KS,2024-04-29,2024-05-16,89160.3438,99608.7386,11.6187,10,tp
000810.KS,2024-04-30,2024-05-16,283198.8125,317476.9002,12.0039,9,tp
024110.KS,2024-04-30,2024-05-29,12284.8984,11706.1222,-4.8113,18,sl
086790.KS,2024-04-30,2024-07-03,52477.8086,59402.0022,13.0945,42,tp
055550.KS,2024-05-02,2024-07-02,42150.7891,46977.9219,11.3521,40,tp
006400.KS,2024-05-08,2024-05-23,435271.25,404408.1187,-7.1906,10,sl
000100.KS,2024-05-10,2024-05-22,70911.3047,77048.6821,8.555,7,tp
000660.KS,2024-05-17,2024-05-27,186967.625,204395.0115,9.2211,6,tp
009150.KS,2024-05-20,2024-07-05,151006.9844,163090.8637,7.9022,33,tp
012450.KS,2024-06-14,2024-07-10,249079.8438,285788.7533,14.6378,18,tp
009540.KS,2024-06-18,2024-06-21,129465.3906,140943.7672,8.766,3,tp
042660.KS,2024-06-19,2024-06-27,33100.0,29936.2072,-9.6583,6,sl
002380.KS,2024-06-28,2024-08-05,290654.375,266850.3529,-8.2898,26,sl
010130.KS,2024-06-28,2024-07-25,499990.8438,473919.7182,-5.3143,19,sl
103140.KS,2024-07-02,2024-08-02,57705.3516,50893.5448,-11.9045,23,sl
298040.KS,2024-07-12,2024-07-22,374503.625,322473.8754,-13.993,6,sl
180640.KS,2024-07-22,2024-07-30,68557.0859,63202.8024,-7.91,6,sl
097950.KS,2024-07-30,2024-08-05,358179.9688,335092.1809,-6.5459,4,sl
047040.KS,2024-08-22,2024-09-05,4185.0,3852.3522,-8.0486,10,sl
180640.KS,2024-08-27,2024-09-04,70938.2266,65184.8654,-8.2104,6,sl
005940.KS,2024-09-03,2024-09-09,12567.4795,11986.386,-4.7238,4,sl
105560.KS,2024-09-03,2024-09-09,81277.7188,75944.4544,-6.6618,4,sl
004310.KS,2024-09-24,2024-10-11,4582.5405,4177.1812,-8.9457,10,end
009540.KS,2024-09-25,2024-10-02,183923.0312,168706.6137,-8.3733,4,sl
010140.KS,2024-09-26,2024-09-30,10860.0,10132.5817,-6.7981,2,sl
012450.KS,2024-10-07,2024-10-16,344949.2188,381705.94,10.5557,6,tp
051600.KS,2024-10-07,2024-11-21,39810.332,43253.8424,8.5498,32,tp
009540.KS,2024-10-10,2024-11-25,177944.8438,200388.9023,12.5129,32,tp
006280.KS,2024-10-11,2024-10-21,156631.7188,177709.5071,13.3569,6,tp
069620.KS,2024-10-11,2024-11-06,159765.1406,157583.375,-1.4656,18,end
015760.KS,2024-10-24,2024-11-12,22084.1348,20718.7631,-6.2826,13,sl
003090.KS,2024-10-30,2024-11-12,24344.3438,22069.9574,-9.4426,9,sl
207940.KS,2024-10-30,2024-11-13,1585199.5,1464150.6498,-7.7362,10,sl
373220.KS,2024-11-13,2024-11-15,412000.0,375213.1103,-9.0289,2,sl
373220.KS,2024-11-21,2024-12-20,400500.0,362847.2482,-9.5014,21,sl
009540.KS,2024-12-11,2025-01-09,197093.75,223904.5981,13.5031,18,tp
180640.KS,2024-12-11,2025-01-02,79272.2266,71549.5337,-9.842,13,sl
028100.KS,2024-12-17,2024-12-30,13490.0918,12373.396,-8.3779,8,sl
042660.KS,2024-12-27,2025-01-07,36900.0,42854.0039,16.0355,5,tp
028100.KS,2025-01-03,2025-04-21,12893.8447,14293.241,10.7532,71,tp
012330.KS,2025-01-06,2025-02-21,235287.25,258639.5733,9.825,30,tp
035420.KS,2025-01-31,2025-03-27,213203.6406,200392.8827,-6.1087,38,sl
096770.KS,2025-02-19,2025-03-21,127686.8359,119569.3043,-6.4574,21,sl
000660.KS,2025-03-25,2025-03-31,206716.1875,191906.5861,-7.2642,4,sl
402340.KS,2025-03-26,2025-03-31,99570.1406,92083.9457,-7.6185,3,sl
042660.KS,2025-04-14,2025-04-28,80100.0,94487.0282,17.8613,10,tp
069960.KS,2025-04-18,2025-05-12,56205.25,62106.349,10.3992,13,tp
011210.KS,2025-05-09,2025-05-19,42527.625,40018.6987,-5.9995,6,sl
030210.KS,2025-05-29,2025-07-11,3430.9248,3909.0175,13.8348,29,tp
004310.KS,2025-07-04,2025-07-17,3486.2039,3745.5259,7.3385,9,tp
006980.KS,2025-07-14,2025-07-25,16994.9199,15860.6531,-6.7742,9,sl
069620.KS,2025-07-14,2025-07-31,163734.0938,151703.2726,-7.4478,13,sl
006280.KS,2025-07-15,2025-07-18,132074.8281,141943.9684,7.3724,3,tp
010130.KS,2025-07-22,2025-08-01,814706.4375,758497.8182,-6.9992,8,sl
047810.KS,2025-07-25,2025-07-29,92533.6406,101738.7815,9.8479,2,tp
329180.KS,2025-07-28,2025-08-27,455793.7812,512389.4477,12.3169,21,tp
009540.KS,2025-07-31,2025-08-04,346263.0312,318833.856,-8.0215,2,sl
051600.KS,2025-08-14,2025-08-19,51620.6445,48076.1438,-6.9664,2,sl
241560.KS,2025-08-19,2025-10-23,53827.8438,59712.8304,10.833,41,tp
001450.KS,2025-08-20,2025-11-27,28150.0,30870.1058,9.5629,65,tp
302440.KS,2025-08-20,2025-10-13,48200.0,45065.3401,-6.6034,32,sl
012330.KS,2025-08-21,2025-09-01,293172.4688,319927.4375,9.026,7,tp
032830.KS,2025-08-22,2025-09-09,134853.4219,148543.6867,10.052,12,tp
003490.KS,2025-08-25,2025-08-27,24841.1074,23576.8442,-5.1894,2,sl
036570.KS,2025-08-25,2025-09-12,197408.0,219802.2353,11.2441,14,tp
000150.KS,2025-08-26,2025-09-11,559210.5,654081.1432,16.8651,12,tp
001040.KS,2025-08-27,2025-09-05,152972.1719,174309.0544,13.8482,7,tp
005830.KS,2025-08-27,2025-09-10,126366.9766,138477.5078,9.4836,10,tp
004310.KS,2025-08-28,2025-11-03,3979.958,3612.9769,-9.3207,41,sl
000990.KS,2025-08-29,2025-09-10,45536.4492,49614.377,8.8553,8,tp
000270.KS,2025-09-01,2025-09-15,102021.3359,97296.3211,-4.7314,10,sl
011210.KS,2025-09-01,2025-09-03,50501.5547,54782.4867,8.3768,2,tp
034730.KS,2025-09-01,2025-09-15,202303.3906,223502.8076,10.379,10,tp
024110.KS,2025-09-03,2025-09-16,18060.3008,19006.9474,5.1416,9,tp
069500.KS,2025-09-03,2025-09-10,42711.7461,44478.2492,4.0359,5,tp
078000.KS,2025-09-03,2025-09-23,14086.3008,15775.5233,11.892,13,tp
000660.KS,2025-09-04,2025-09-10,264719.6562,291960.1791,10.1903,4,tp
004020.KS,2025-09-08,2025-10-01,34943.5703,32543.235,-6.9692,16,sl
051910.KS,2025-09-10,2025-10-17,285166.125,314566.2235,10.2098,21,tp
096770.KS,2025-09-12,2025-09-24,107900.0,102487.3071,-5.1164,7,sl
032640.KS,2025-09-15,2025-11-10,14278.6572,15353.869,7.4302,34,tp
011070.KS,2025-09-16,2025-09-23,178844.7344,195009.9808,8.9387,4,tp
036570.KS,2025-09-16,2025-10-01,225865.0,211358.7361,-6.5225,10,sl
055550.KS,2025-09-16,2025-10-21,68720.3516,73733.5718,7.1951,19,tp
006400.KS,2025-10-02,2025-10-16,206500.0,224793.9985,8.7591,5,tp
373220.KS,2025-10-02,2025-10-10,399000.0,372377.1978,-6.7724,1,sl
247540.KS,2025-10-15,2025-10-16,125138.1719,138554.5606,10.6213,1,tp
000150.KS,2025-10-20,2025-10-27,718416.375,829413.5171,15.3503,5,tp
042660.KS,2025-10-21,2025-10-23,120700.0,136717.9916,13.1709,2,tp
329180.KS,2025-10-21,2025-10-27,552447.5625,616166.5373,11.4339,4,tp
028050.KS,2025-10-23,2025-10-27,29318.9746,27546.001,-6.1472,2,sl
002380.KS,2025-10-28,2025-11-05,424281.0938,394342.157,-7.1564,6,sl
035720.KS,2025-10-30,2025-11-18,63411.1445,57925.0152,-8.7517,13,sl
036570.KS,2025-11-04,2025-11-19,219397.5,203555.463,-7.3207,11,sl
069960.KS,2025-11-07,2026-01-02,89542.7344,83146.7377,-7.243,37,sl
032830.KS,2025-11-13,2025-11-14,162907.5781,150593.635,-7.6589,1,sl
010130.KS,2025-11-26,2025-11-27,1133164.875,1309298.391,15.4435,1,tp
